"Index","Month_of_issue","District","Category","Years","Actual","Probability","Actual_Drought","Statistics","0%","1%","2%","3%","4%","5%","6%","7%","8%","9%","10%","11%","12%","13%","14%","15%","16%","17%","18%","19%","20%","21%","22%","23%","24%","25%","26%","27%","28%","29%","30%","31%","32%","33%","34%","35%","36%","37%","38%","39%","40%","41%","42%","43%","44%","45%","46%","47%","48%","49%","50%","51%","52%","53%","54%","55%","56%","57%","58%","59%","60%","61%","62%","63%","64%","65%","66%","67%","68%","70%","71%","73%","74%"
"SPI DJ",10,"Changara","Leve",1995,0.08,0.3,0,"HEIDKE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.02,NA,NA,0.05,0.08,0.09,0.11,NA,0.14,0.17,NA,NA,0.28,NA,0.14,NA,0.01,0.09,0.13,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,-0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Changara","Moderado",1995,0.08,0.23,0,"HEIDKE",NA,NA,NA,NA,NA,NA,NA,0.02,0.03,NA,0.04,NA,0.08,0.09,0.12,0.14,0.17,0.21,0.09,NA,-0.01,0.01,NA,0.03,0.06,NA,0.13,NA,0.25,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,0.47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Changara","Severo",1995,0.08,0.14,0,"HEIDKE",NA,NA,NA,NA,0.01,NA,0.03,NA,0.06,0.08,0.12,0.14,0.21,NA,0.28,0.31,0.03,NA,NA,0.06,0.09,NA,0.19,0.25,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Chibuto","Leve",1995,-0.49,0.3,0,"HEIDKE",NA,NA,NA,NA,NA,NA,0.02,NA,0.06,NA,0.09,0.11,NA,NA,NA,NA,NA,NA,0.14,NA,0.11,0.08,0,0.03,0.07,NA,NA,NA,NA,0.1,0.19,NA,0.3,NA,0.21,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Chibuto","Moderado",1995,-0.49,0.26,0,"HEIDKE",NA,NA,0.03,NA,NA,NA,0.05,NA,0.07,NA,0.09,NA,NA,NA,0.14,NA,0.25,0.32,NA,0.36,0.13,NA,NA,NA,NA,NA,0.37,NA,0.27,NA,0.34,NA,0.42,NA,NA,NA,0.2,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Chibuto","Severo",1995,-0.49,0.17,0,"HEIDKE",0.01,0.03,NA,NA,0.04,NA,0.05,0.07,NA,NA,0.09,NA,0.15,0.17,0.22,0.14,0.05,0.07,NA,0.1,NA,0.14,0.28,0.34,0.12,NA,0.19,NA,NA,NA,NA,0.26,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Guija","Leve",1995,-0.34,0.29,0,"HEIDKE",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,0.08,NA,NA,0.11,0.06,NA,0.15,0.19,0.1,0.17,NA,NA,NA,0.11,NA,NA,NA,0.25,0.13,0.18,0.3,0.37,NA,NA,0.44,NA,0.29,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,0.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Guija","Moderado",1995,-0.34,0.22,0,"HEIDKE",0.02,NA,NA,NA,NA,0.03,0.05,0.07,NA,NA,NA,NA,0.09,NA,0.11,0.16,0.28,NA,0.18,NA,0.13,0.01,0.04,NA,NA,NA,0.07,0.11,NA,0.16,NA,NA,0.27,0.34,NA,0.52,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Guija","Severo",1995,-0.34,0.19,0,"HEIDKE",0.03,0.04,NA,NA,0.05,NA,NA,NA,NA,NA,NA,0.09,0.15,0.17,0.25,0.29,NA,0.32,0.1,0.14,0.18,NA,0.28,NA,NA,NA,NA,NA,0.08,NA,0.26,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Marara","Leve",1995,0.27,0.37,0,"HEIDKE",NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.02,NA,NA,0.05,NA,NA,NA,0.09,NA,NA,0.11,0.14,0.19,NA,0.21,0.11,NA,NA,0.17,0.25,0.06,NA,0.09,0.13,NA,NA,NA,0.19,0.25,NA,NA,NA,NA,NA,0.34,-0.06,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Marara","Moderado",1995,0.27,0.2,0,"HEIDKE",NA,NA,NA,NA,0.01,NA,NA,NA,0.04,NA,NA,0.06,0.11,0.12,NA,NA,0.17,0.24,NA,0.31,0.25,NA,NA,NA,0.09,0.13,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,-0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",10,"Marara","Severo",1995,0.27,0.19,0,"HEIDKE",NA,NA,NA,NA,0.01,NA,NA,0.02,0.09,0.12,NA,0.17,0.07,0.11,NA,0.14,0.17,0.21,NA,0.29,0.09,NA,NA,0.13,0.25,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Changara","Leve",1995,0.08,0.24,0,"HEIDKE",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.05,0.08,NA,NA,0.14,NA,0.19,0.21,NA,NA,0.24,0.28,0.36,NA,NA,0.21,0.25,NA,NA,NA,0.09,NA,NA,NA,0.13,NA,NA,0.19,-0.09,NA,NA,NA,NA,-0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Changara","Moderado",1995,0.08,0.24,0,"HEIDKE",0.01,NA,NA,NA,NA,NA,0.02,0.03,0.05,0.06,0.08,0.09,0.12,NA,0.14,NA,0.21,0.24,0.28,NA,0.17,NA,NA,0.21,0.25,0.09,NA,NA,NA,NA,NA,NA,0.19,0.25,NA,NA,NA,-0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Changara","Severo",1995,0.08,0.23,0,"HEIDKE",0.02,NA,0.03,NA,0.04,0.05,0.06,0.08,0.11,0.12,NA,0.14,0.19,NA,0.28,0.14,NA,0.01,NA,0.03,0.06,NA,NA,0.09,0.13,NA,NA,NA,0.25,NA,NA,NA,0.34,NA,0.47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Chibuto","Leve",1995,-0.49,0.38,0,"HEIDKE",0.02,NA,NA,NA,NA,0.04,0.09,NA,NA,NA,0.11,NA,NA,NA,0.14,NA,0.2,NA,0.26,NA,0.21,0.29,0.33,NA,NA,NA,NA,NA,0.22,0.15,0.01,NA,NA,0.05,NA,0.1,NA,NA,0.03,NA,0.09,NA,NA,NA,0.16,NA,NA,NA,-0.07,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Chibuto","Moderado",1995,-0.49,0.31,0,"HEIDKE",0.02,NA,NA,0.05,NA,NA,0.07,0.09,NA,0.11,0.14,0.19,NA,NA,0.28,0.32,0.25,NA,0.29,NA,0.34,NA,NA,0.21,NA,NA,0.26,0.11,NA,NA,NA,0.27,0.08,NA,NA,NA,0.13,NA,0.2,NA,NA,-0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Chibuto","Severo",1995,-0.49,0.3,0,"HEIDKE",0.03,NA,NA,0.05,NA,0.07,0.09,0.11,0.15,0.09,0.12,0.14,NA,0.17,0.24,NA,NA,NA,0.28,NA,NA,0.14,0.18,NA,0.03,NA,NA,NA,0.08,NA,0.19,NA,-0.06,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Guija","Leve",1995,-0.34,0.38,0,"HEIDKE",0.02,NA,NA,NA,NA,NA,NA,NA,0.11,NA,0.14,NA,NA,NA,0.17,0.2,0.24,NA,0.23,NA,0.27,0.31,0.21,0.26,0.31,NA,NA,NA,NA,NA,NA,0.08,0.13,NA,0,0.05,0.1,NA,0.16,NA,0.06,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,-0.07,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Guija","Moderado",1995,-0.34,0.32,0,"HEIDKE",0.02,NA,0.03,NA,NA,0.05,0.07,NA,0.14,NA,0.16,NA,0.12,NA,0.15,0.18,0.21,NA,0.1,0.13,NA,NA,0.17,0.04,NA,NA,-0.11,NA,NA,-0.08,-0.05,NA,0.03,NA,0.08,NA,0.13,0.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Guija","Severo",1995,-0.34,0.28,0,"HEIDKE",0.01,NA,0.04,NA,0.07,NA,0.11,NA,0.09,NA,0.12,NA,NA,0.14,0.17,0.24,NA,NA,NA,0.1,-0.05,NA,0,NA,NA,NA,0.03,0.08,0.12,NA,0.26,0.36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Marara","Leve",1995,0.27,0.27,0,"HEIDKE",0.01,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,0.06,0.08,0.09,NA,0.12,NA,0.14,NA,0.24,0.28,0.31,NA,NA,0.36,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,0.25,0.35,0.19,NA,0.34,NA,0.47,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Marara","Moderado",1995,0.27,0.21,0,"HEIDKE",0.01,0.02,NA,NA,0.04,NA,NA,NA,0.05,0.06,NA,0.08,0.11,0.17,NA,0.19,0.31,NA,NA,0.17,NA,0.25,NA,NA,NA,NA,NA,NA,0.06,0.09,NA,NA,NA,0.13,NA,0.25,0.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",11,"Marara","Severo",1995,0.27,0.16,0,"HEIDKE",0.04,NA,NA,0.05,NA,NA,NA,0.06,0.08,0.09,NA,0.11,0.19,0.24,NA,0.11,0.25,NA,NA,NA,NA,NA,NA,0.06,0.13,0.19,NA,NA,NA,NA,NA,0.25,0.34,NA,NA,0.47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",12,"Changara","Leve",1995,0.08,0.12,0,"HEIDKE",0.02,0.03,NA,NA,NA,NA,0.04,0.05,0.06,NA,NA,NA,0.08,NA,NA,-0.02,0,0.01,0.04,0.05,0.07,0.09,NA,NA,0.11,0.14,0.01,NA,0.06,NA,NA,NA,NA,NA,0.09,NA,NA,0.13,0.25,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",12,"Changara","Moderado",1995,0.08,0.12,0,"HEIDKE",0.03,0.04,NA,NA,0.05,NA,NA,NA,0.06,-0.02,NA,NA,0.01,NA,0.02,NA,0.05,NA,NA,0.09,0.03,0.06,NA,NA,NA,NA,NA,NA,0.13,NA,0.19,0.25,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",12,"Changara","Severo",1995,0.08,0.11,0,"HEIDKE",0.04,NA,0.05,NA,NA,NA,NA,0.06,-0.02,NA,NA,0,0.04,NA,0.05,-0.06,-0.01,0.01,NA,0.06,NA,0.09,NA,0.13,0.19,NA,NA,NA,0.25,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
