"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"1993",0.12,"SPI ON","SPI 2","Chibuto","05","Severo"
"1994",0.2,"SPI ON","SPI 2","Chibuto","05","Severo"
"1995",0.13,"SPI ON","SPI 2","Chibuto","05","Severo"
"1996",0.14,"SPI ON","SPI 2","Chibuto","05","Severo"
"1997",0.2,"SPI ON","SPI 2","Chibuto","05","Severo"
"1998",0.07,"SPI ON","SPI 2","Chibuto","05","Severo"
"1999",0,"SPI ON","SPI 2","Chibuto","05","Severo"
"2000",0.08,"SPI ON","SPI 2","Chibuto","05","Severo"
"2001",0.14,"SPI ON","SPI 2","Chibuto","05","Severo"
"2002",0.19,"SPI ON","SPI 2","Chibuto","05","Severo"
"2003",0.1,"SPI ON","SPI 2","Chibuto","05","Severo"
"2004",0.06,"SPI ON","SPI 2","Chibuto","05","Severo"
"2005",0.18,"SPI ON","SPI 2","Chibuto","05","Severo"
"2006",0.1,"SPI ON","SPI 2","Chibuto","05","Severo"
"2007",0.16,"SPI ON","SPI 2","Chibuto","05","Severo"
"2008",0.15,"SPI ON","SPI 2","Chibuto","05","Severo"
"2009",0.16,"SPI ON","SPI 2","Chibuto","05","Severo"
"2010",0.16,"SPI ON","SPI 2","Chibuto","05","Severo"
"2011",0.1,"SPI ON","SPI 2","Chibuto","05","Severo"
"2012",0.25,"SPI ON","SPI 2","Chibuto","05","Severo"
"2013",0.27,"SPI ON","SPI 2","Chibuto","05","Severo"
"2014",0.22,"SPI ON","SPI 2","Chibuto","05","Severo"
"2015",0.2,"SPI ON","SPI 2","Chibuto","05","Severo"
"2016",0.15,"SPI ON","SPI 2","Chibuto","05","Severo"
"2017",0.26,"SPI ON","SPI 2","Chibuto","05","Severo"
"2018",0.25,"SPI ON","SPI 2","Chibuto","05","Severo"
"2019",0.21,"SPI ON","SPI 2","Chibuto","05","Severo"
"2020",0.14,"SPI ON","SPI 2","Chibuto","05","Severo"
"2021",0.14,"SPI ON","SPI 2","Chibuto","05","Severo"
"1993",0.14,"SPI ON","SPI 2","Guija","05","Severo"
"1994",0.24,"SPI ON","SPI 2","Guija","05","Severo"
"1995",0.13,"SPI ON","SPI 2","Guija","05","Severo"
"1996",0.13,"SPI ON","SPI 2","Guija","05","Severo"
"1997",0.18,"SPI ON","SPI 2","Guija","05","Severo"
"1998",0.04,"SPI ON","SPI 2","Guija","05","Severo"
"1999",0.02,"SPI ON","SPI 2","Guija","05","Severo"
"2000",0.08,"SPI ON","SPI 2","Guija","05","Severo"
"2001",0.12,"SPI ON","SPI 2","Guija","05","Severo"
"2002",0.18,"SPI ON","SPI 2","Guija","05","Severo"
"2003",0.08,"SPI ON","SPI 2","Guija","05","Severo"
"2004",0.04,"SPI ON","SPI 2","Guija","05","Severo"
"2005",0.14,"SPI ON","SPI 2","Guija","05","Severo"
"2006",0.08,"SPI ON","SPI 2","Guija","05","Severo"
"2007",0.14,"SPI ON","SPI 2","Guija","05","Severo"
"2008",0.12,"SPI ON","SPI 2","Guija","05","Severo"
"2009",0.12,"SPI ON","SPI 2","Guija","05","Severo"
"2010",0.17,"SPI ON","SPI 2","Guija","05","Severo"
"2011",0.12,"SPI ON","SPI 2","Guija","05","Severo"
"2012",0.26,"SPI ON","SPI 2","Guija","05","Severo"
"2013",0.26,"SPI ON","SPI 2","Guija","05","Severo"
"2014",0.24,"SPI ON","SPI 2","Guija","05","Severo"
"2015",0.22,"SPI ON","SPI 2","Guija","05","Severo"
"2016",0.15,"SPI ON","SPI 2","Guija","05","Severo"
"2017",0.31,"SPI ON","SPI 2","Guija","05","Severo"
"2018",0.25,"SPI ON","SPI 2","Guija","05","Severo"
"2019",0.2,"SPI ON","SPI 2","Guija","05","Severo"
"2020",0.11,"SPI ON","SPI 2","Guija","05","Severo"
"2021",0.11,"SPI ON","SPI 2","Guija","05","Severo"
"1993",0.21,"SPI ON","SPI 2","Changara","05","Severo"
"1994",0.14,"SPI ON","SPI 2","Changara","05","Severo"
"1995",0.1,"SPI ON","SPI 2","Changara","05","Severo"
"1996",0.21,"SPI ON","SPI 2","Changara","05","Severo"
"1997",0.14,"SPI ON","SPI 2","Changara","05","Severo"
"1998",0.17,"SPI ON","SPI 2","Changara","05","Severo"
"1999",0.05,"SPI ON","SPI 2","Changara","05","Severo"
"2000",0.16,"SPI ON","SPI 2","Changara","05","Severo"
"2001",0.2,"SPI ON","SPI 2","Changara","05","Severo"
"2002",0.18,"SPI ON","SPI 2","Changara","05","Severo"
"2003",0.24,"SPI ON","SPI 2","Changara","05","Severo"
"2004",0.13,"SPI ON","SPI 2","Changara","05","Severo"
"2005",0.04,"SPI ON","SPI 2","Changara","05","Severo"
"2006",0.15,"SPI ON","SPI 2","Changara","05","Severo"
"2007",0.11,"SPI ON","SPI 2","Changara","05","Severo"
"2008",0.16,"SPI ON","SPI 2","Changara","05","Severo"
"2009",0.16,"SPI ON","SPI 2","Changara","05","Severo"
"2010",0.26,"SPI ON","SPI 2","Changara","05","Severo"
"2011",0.12,"SPI ON","SPI 2","Changara","05","Severo"
"2012",0.15,"SPI ON","SPI 2","Changara","05","Severo"
"2013",0.21,"SPI ON","SPI 2","Changara","05","Severo"
"2014",0.14,"SPI ON","SPI 2","Changara","05","Severo"
"2015",0.2,"SPI ON","SPI 2","Changara","05","Severo"
"2016",0.2,"SPI ON","SPI 2","Changara","05","Severo"
"2017",0.13,"SPI ON","SPI 2","Changara","05","Severo"
"2018",0.32,"SPI ON","SPI 2","Changara","05","Severo"
"2019",0.17,"SPI ON","SPI 2","Changara","05","Severo"
"2020",0.03,"SPI ON","SPI 2","Changara","05","Severo"
"2021",0.03,"SPI ON","SPI 2","Changara","05","Severo"
"1993",0.19,"SPI ON","SPI 2","Marara","05","Severo"
"1994",0.15,"SPI ON","SPI 2","Marara","05","Severo"
"1995",0.09,"SPI ON","SPI 2","Marara","05","Severo"
"1996",0.2,"SPI ON","SPI 2","Marara","05","Severo"
"1997",0.04,"SPI ON","SPI 2","Marara","05","Severo"
"1998",0.19,"SPI ON","SPI 2","Marara","05","Severo"
"1999",0.07,"SPI ON","SPI 2","Marara","05","Severo"
"2000",0.16,"SPI ON","SPI 2","Marara","05","Severo"
"2001",0.2,"SPI ON","SPI 2","Marara","05","Severo"
"2002",0.2,"SPI ON","SPI 2","Marara","05","Severo"
"2003",0.27,"SPI ON","SPI 2","Marara","05","Severo"
"2004",0.16,"SPI ON","SPI 2","Marara","05","Severo"
"2005",0.07,"SPI ON","SPI 2","Marara","05","Severo"
"2006",0.13,"SPI ON","SPI 2","Marara","05","Severo"
"2007",0.12,"SPI ON","SPI 2","Marara","05","Severo"
"2008",0.15,"SPI ON","SPI 2","Marara","05","Severo"
"2009",0.16,"SPI ON","SPI 2","Marara","05","Severo"
"2010",0.24,"SPI ON","SPI 2","Marara","05","Severo"
"2011",0.15,"SPI ON","SPI 2","Marara","05","Severo"
"2012",0.15,"SPI ON","SPI 2","Marara","05","Severo"
"2013",0.24,"SPI ON","SPI 2","Marara","05","Severo"
"2014",0.16,"SPI ON","SPI 2","Marara","05","Severo"
"2015",0.24,"SPI ON","SPI 2","Marara","05","Severo"
"2016",0.2,"SPI ON","SPI 2","Marara","05","Severo"
"2017",0.13,"SPI ON","SPI 2","Marara","05","Severo"
"2018",0.29,"SPI ON","SPI 2","Marara","05","Severo"
"2019",0.17,"SPI ON","SPI 2","Marara","05","Severo"
"2020",0.01,"SPI ON","SPI 2","Marara","05","Severo"
"2021",0.01,"SPI ON","SPI 2","Marara","05","Severo"
"1993",0.16,"SPI ON","SPI 2","Chibuto","05","Moderado"
"1994",0.3,"SPI ON","SPI 2","Chibuto","05","Moderado"
"1995",0.2,"SPI ON","SPI 2","Chibuto","05","Moderado"
"1996",0.17,"SPI ON","SPI 2","Chibuto","05","Moderado"
"1997",0.3,"SPI ON","SPI 2","Chibuto","05","Moderado"
"1998",0.08,"SPI ON","SPI 2","Chibuto","05","Moderado"
"1999",0.02,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2000",0.1,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2001",0.18,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2002",0.22,"SPI ON","SPI 2","Chibuto","05","Moderado"
"2003",0.11,"SPI ON","SPI 2","Chibuto","05","Moderado"
